image,question,answer
image464,What is markedly enlarged?,the kidney
image464,What is shown for scale?,centimeter rule
image465,What does the cytoplasm show due to accumulated immunoglobulins?,pink homogeneous globular material immunoglobulins
image465,What shows pink homogeneous globular material due to accumulated immunoglobulins?,the cytoplasm immunoglobulins
image466,What show multiple small vacuoles in the cytoplasm (microvesicles)?,others hepatocytes
image466,"What are distended with large fat vacuoles pushing the nuclei to the periphery (macrovesicles), while others show multiple small vacuoles in the cytoplasm (microvesicles)?",many of hepatocytes 
image466,"What are many of the hepatocytes distended with pushing the nuclei to the periphery (macrovesicles), while others show multiple small vacuoles in the cytoplasm (microvesicles)?",large fat 
image466,What do others show in the cytoplasm (microvesicles)?,multiple small vacuoles
image467,"What is coated by tan pseudomembranes composed of neutrophils,  dead epithelial cells,  and inflammatory debris endoscopic view?",the colon
image467,What is the colon coated by?,tan pseudomembranes
image468,What are the polypoid areas?,the sites of variceal hemorrhage that were ligated with bands
image468,Where are collapsed varices present?,in the postmortem specimen
image468,What are present in this postmortem specimen corresponding to the angiogram in the figure?,collapsed varices
image468,What are sites of variceal hemorrhage that were ligated with bands?,the polypoid areas
image469,What is carcinoma in situ?,the stage that immediately precedes invasive squamous cell carcinoma
image469,What do more ominous changes include?,the appearance of squamous dysplasia
image469,"What are similar to those in frank carcinoma, apart from the lack of basement membrane disruption in CIS?",the cytologic features of cis
image469,"What include the appearance of squamous dysplasia,  characterized by the presence of disordered squamous epithelium,  with loss of nuclear polarity,  nuclear hyperchromasia,  pleomorphism,  and mitotic figures?",more ominous changes
image469,What is the stage that immediately precedes invasive squamous cell carcinoma?,carcinoma in situ (cis)
image469,What are the cytologic features of CIS similar to?,those in frank carcinoma
image470,What does endoscopy reveal?,circumferential rings in the proximal esophagus
image471,What are there?,bands of collagen forming nodules and characteristic lacunar rs cells (inbox in left figure)
image472,What shows numerous gray-white granulomas?,the cut surface
image473,What do the centres of whorls of smooth muscle and connective tissue show?,pink homogeneous hyaline material (connective hyaline)
image473,What show pink homogeneous hyaline material connective tissue hyaline?,the centres of whorls of smooth muscle
image474,"What contain coarse, granular, brown-black melanin pigment?",these cells 
image475,What is covered partly by respiratory and partly by squamous metaplastic epithelium?,overlying mucosa
image475,What is the overlying mucosa covered partly by?,respiratory and partly by squamous metaplastic epithelium
image476,What appear as dense masses with spicular margins resulting from invasion of adjacent radiolucent breast tissue in mammograms B?,invasive breast carcinomas
image477,What are diffuse involvement of the glomeruli showing thickening of the GBM and diffuse increase in the mesangial matrix with mild proliferation of mesangial cells and exudative lesions fibrin caps and capsular drops?,characteristic features
image477,Where are the characteristic features?,in the mesangial matrix
image477,"What are there within the lobules of glomeruli, surrounded peripherally by glomerular capillaries with thickened walls?",one or more hyaline nodules
image478,What does the tumour show?,characteristic submucosal cambium layer of tumour cells
image479,What does the cyst wall show?,myxoid degeneration
image479,What shows myxoid degeneration?,cyst wall
image479,What is composed of dense connective tissue lined internally by flattened lining?,cyst wall
image479,What is the cyst wall composed of?,dense connective tissue lined internally by flattened lining
image480,What does microscopy show?,a variety of incompletely differentiated tissue elements
image481,What are cytoplasmic inclusions containing TDP43 seen in association with?,loss of normal nuclear immunoreactivity
image481,What are seen in association with loss of normal nuclear immunoreactivity?,cytoplasmic inclusions containing tdp43
image482,What does this observation reflect?,the progressive loss of cellular differentiation on the surface of the cervical lesions from which these cells are exfoliated
image483,What are illustrated in the diagram?,histologic zones of the ulcer
image483,"What shows necrotic debris, ulceration and inflammation on the mucosal surface?",photomicrograph on right
image484,"Where does the photomicrograph show necrotic debris, ulceration and inflammation on the mucosal surface?",on right
image484,What are illustrated in the diagram?,histologic zones of the ulcer
image484,"What shows necrotic debris, ulceration and inflammation on the mucosal surface?",photomicrograph on right
image484,"Where does the photomicrograph show necrotic debris, ulceration and inflammation on the mucosal surface?",on right
image485,What did ervical transformation zone show?,the transition from mature glycogenated squamous epithelium
image486,What did cross-sections of the right carotid artery from the patient shown in the figure demonstrate?,marked intimal thickening and luminal narrowing
image486,What is shown in the figure demonstrating marked intimal thickening and luminal narrowing?,cross-sections of right carotid artery from the patient
image486,What is the area of intimal hyperplasia?,the inner core of tan tissue
image486,What correspond to the original vessel wall?,the white circles
image486,What is the inner core of tan tissue?,the area of intimal hyperplasia
image486,What do the white circles correspond to?,the original vessel wall
image487,What did granulosa cell tumour show?,the shows the characteristic submucosal cambium layer of cells
image487,How did granulosa cell tumour show uniform granulosa cells and numerous rosette-like Call-Exner bodies?,by granulosa cells
image487,What is surrounded by granulosa cells?,central amorphous pink material
image488,What are also present?,a few multinucleate tumour giant cells
image488,What is the tumour divided into?,alveolar spaces composed of fibrocollagenous tissue
image488,"What are lined by small, dark, undifferentiated tumour cells, with some cells floating in the alveolar spaces?",fibrous trabeculae
image489,How are blood vessels in the interstitium?,hyalinised and thickened
image489,What are hyalinised and thickened while the interstitium shows fine fibrosis and a few chronic inflammatory cells?,blood vessels in the interstitium
image489,What are acellular and completely hyalinised?,glomerular tufts
image489,What does the interstitium show ?,fine fibrosis and a few chronic inflammatory cells
image490,What do additional features include?,irregular depressions and an incidental cortical cyst far
image490,"What include some irregular depressions,  the result of pyelonephritis,  and an incidental cortical cyst far (right)?",additional features
image490,What does the bisected kidney demonstrate?,diffuse granular transformation of surface and marked thinning of cortex
image490,What demonstrates diffuse granular transformation of the surface and marked thinning of the cortex (right)?,the bisected kidney
image491,What is populated by several distinct cell types that express different peptide hormones?,the normal anterior pituitary gland
image491,What is the normal anterior pituitary gland populated by?,several distinct cell types that express different peptide hormones
image491,"What are basophilic (blue),  eosinophilic (red),  or nonstaining?",peptide hormones
image491,What are colors of these hormones?,basophilic (blue)
image492,What have incomplete muscle coat?,some blood vessels
image492,What are variable-sized?,blood vessels
image492,What does the stroma have ?,stellate fibroblasts and mast cells
image493,What are seen as prussian blue granules?,haemosiderin pigment in the cytoplasm of hepatocytes granules
image493,What is haemosiderin pigment in the cytoplasm of hepatocytes see as?,prussian blue granules
image494,What are there?,bands of collagen forming nodules and characteristic lacunar rs cells (inbox in left figure)
image494,"Where is admixture of mature lymphocytes, plasma cells, neutrophils and eosinophils and classic RS cells?",in the centre of the field
image495,What are riddled with gray-white areas of caseation and multiple areas of softening and cavitation?,the upper parts of both lungs
image495,What are the upper parts of both lungs riddled with?,the gray-white areas of caseation and multiple areas of softening and cavitation
image496,"What are best identified with a special stain for fungi, Gomory 's methenamine silver GMS?",apergillus flavus
image497,What is there in the figure?,microscopic appearance of interstitial pneumonitis
image498,What does sectioned surface show?,grey-white fleshy tumour in the bronchus at its bifurcation
image498,What shows grey-white fleshy tumour in the bronchus at its bifurcation?,sectioned surface
image499,"What are seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",lipofuscin pigment granules nuclei
image500,What are dilated?,affected tubules
image500,What are lined by regenerating thin and flat epithelium?,affected regions
image500,What contain casts?,lumina of affected tubules
image500,What is there along the nephron involving proximal convoluted tubule as well as distal convoluted tubule DCT?, focal necrosis
image500,Whose lumina contain casts?,affected tubules
image500,What are the affected regions lined by?,regenerating thin and flat epithelium
image501,"What has caused a marked increase in their radiodensity,  so that they are as radiopaque as the cortical bone?",impaired remodeling of calcified cartilage in the epiphyses (arrows) of the wrist
image502,What are classified as basal-like by gene expression profiling?,the majority of triple-negative cancers
image502,"What include flat epithelial atypia,  ADH,  and DCIS,  all of which share certain genomic events with invasive ER-positive carcinomas,  such gains of chromosome 1,  losses of chromosome 16,  and mutations of PIK3CA the gene encoding PI3K?",morphologically recognized precursor lesions
image502,"What is a possible precursor lesion,  which shares features with apocrine DCIS?",atypical apocrine adenosis
image502,"What is atypical apocrine adenosis,  which shares features with apocrine DCIS?",a possible precursor lesion
image502,What are classified as luminal by gene expression profiling?,er-positive carcinomas
image502,What do morphologically recognized precursor lesions include?,flat epithelial atypia
image502,What is negative for ER and HER2 (triple negative)?,the least common but molecularly most distinctive type of breast cancer 
image502,What is the least common but molecularly most distinctive type of breast cancer?,negative for er and her2
image502,What leads to ER-positive cancers?,the most common pathway
image503,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image503,What is vascular changes and fibrosis of salivary glands produced by?, radiation therapy of the neck region 
image503,What is produced by radiation therapy of the neck region?,vascular changes and fibrosis of salivary glands
image504,What does inset in the right photomicrograph show?,close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus
image504,What shows close-up view of a typical lipoblast having multivacuolated cytoplasm indenting the atypical nucleus?,inset in the right photomicrograph
image505,What are there?,areas of intra-acinar papillary infoldings lined by two layers of epithelium with basal polarity of nuclei
image505,What are lined by two layers of epithelium with basal polarity of nuclei?,areas of intra-acinar papillary infoldings
image505,What is there of fibromuscular elements?,hyperplasia of fibromuscular elements
image506,"What are reactive astrocytosis, a few reactive macrophages and neovascularisation in the wall of the cystic lesion?",histologic changes
image506,What are the histologic change?,reactive astrocytosis
image507,What is hydatidiform mole characterised by?,hydropic and avascular enlarged villi
image507,What is characterised by hydropic and avascular enlarged villi with trophoblastic proliferation in the form of masses and sheets?,hydatidiform mole
image508,What does sectioning of ovary show?,large endometriotic cyst with degenerated blood
image508,What shows a large endometriotic cyst with degenerated blood (chocolate cyst)?,sectioning of ovary
image508,How does sectioning of ovary show a large endometriotic cyst?,with degenerated blood
image509,"What lies at the edge of a large area of atherosclerosis,  which arrested the propagation of the dissection?",the distal edge of the intramural hematoma
image510,What shows a normoblast?,the background
image510,What does the background show?,a normoblast
image511,What is diagrammatic representation of classification of haemolytic anaemias based on?,principal mechanisms of haemolysis
image511,What is based on principal mechanisms of haemolysis?,diagrammatic representation of classification of haemolytic anaemias haemolysis
image512,What do the areas of white chalky deposits represent?,foci of fat necrosis
image512,What represent foci of fat necrosis with calcium soap formation at sites of lipid breakdown in the mesentery?,the areas of white chalky deposits
image512,Where do areas of white chalky deposits represent foci of fat necrosis with calcium soap formation?,at sites of lipid breakdown in the mesentery
image512,How do the areas of white chalky deposits represent foci of fat necrosis?,with calcium soap formation (saponification) 
image513,"Where is red blood,  stained with Movat stain?",in this section
image514,What is ulcerated?,mucosal surface
image514,What is there thickening in the middle causing narrowing of the lumen?,a concentric circumferential
image514,What does photomicrograph show?,whorls of anaplastic squamous cells invading the underlying soft tissues
image515,What stain for myelin?,luxol fast blue-periodic acid-schiff
image516,What are the cyst wall and the septa lined by?,a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles
image516,What are lined by a single layer of tall columnar mucin-secreting epithelium with basally-placed nuclei and large apical mucinous vacuoles?,cyst wall and the septa
image517,What does sectioned surface of enlarged prostate show?,soft to firm
image517,"How does sectioned surface of enlarged prostate show soft to firm, grey-white, nodularity?",with microcystic areas
image517,"What shows soft to firm, grey-white, nodularity with microcystic areas?",sectioned surface of enlarged prostate
image518,"What demonstrates intimal,  macrophage-derived foam cells ?",fatty streak in an experimental hypercholesterolemic rabbit
image519,What shows papillary tumour floating in the lumen?,mucosal surface
image519,What does the mucosal surface show?,papillary tumour floating in the lumen
image520,What are the follicles lined by?,tall columnar epithelial cells
image520,"What are lined by tall columnar epithelial cells that are actively resorbing the colloid in the centers of the follicles,  resulting in a scalloped appearance of the colloid?",the follicles
image521,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image521,What is vascular changes and fibrosis of salivary glands produced by?,radiation therapy of the neck region
image521,What is produced by radiation therapy of the neck region?,bile duct cells and canals of hering
image522,What is there of epithelial cells involving predominantly proximal convoluted tubule diffusely?,extensive necrosis
image522,What contain casts and the regenerating flat epithelium lines the necrosed tubule?,tubular lumina
image522,What is there involving predominantly proximal convoluted tubule diffusely?,extensive necrosis of epithelial cells
image523,What are crescents in Bowman 's space forming?,adhesions between the glomerular tuft and bowman 's capsule
image523,What are there in Bowman 's space forming adhesions between the glomerular tuft and Bowman 's capsule?,crescents in bowman 's space
image523,What does the tuft show?,hypercellularity and leucocytic infiltration
image524,What are the lipofuscin pigment granules seen in?,cytoplasm myocardial fibres
image524,"What are seen in the cytoplasm of the myocardial fibres, especially around the nuclei?",lipofuscin pigment granules nuclei
image525,What are the tubular epithelial cells distended with?,cytoplasmic vacuoles
image525,What are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,tubular epithelial cells
image525,What are pale?,the nuclei of affected tubules
image525,What is compressed?,interstitial vasculature
image526,What does the lesion have?,intact surface epithelium
image527,What are evident?,a few well-developed cell nests with keratinisation
image527,What are seen?,islands of invading malignant squamous cells
image528,"What are correlated with normal immunophenotypic differentiation/maturation stages of B and T-cells in the bone marrow, lymphoid tissue, peripheral blood and thymus?",various immunophenotypes of b and t-cell malignancies
image529,What is higher as demonstrated by this cytochemical stain?,neutrophil (or leucocyte) alkaline phosphatase (nap or lap) activity
image529,What is accompanied with late precursors of myeloid series?,peripheral blood film showing marked neutrophilic leucocytosis
image530,What is the tumour composed of?,undifferentiated anaplastic cells arranged in nests 
image531,"What contain coarse, granular, brown-black melanin pigment?",these cells 
image532,What is vascular changes and fibrosis of salivary glands produced by?,radiation therapy of the neck region
image532,What is produced by radiation therapy of the neck region?,vascular changes and fibrosis of salivary glands
image532,How is vascular changes and fibrosis of salivary glands produced?,by radiation therapy of the neck region
image533,What does the pelvis of the kidney contain?,a single
image533,"What contains a single, large, soft yellow white stone taking the contour of the pelvi-calyceal system?",pelvis of the kidney
image533,What is with chronic pyelonephritis?,taghorn renal stone
image533,What shows dilated pelvicalyceal system with atrophied and thin peripheral cortex?,sectioned surface
image534,What is associated with DCIS?,mammographic detection of calcifications
image535,How does inset in the photomicrograph show perineural invasion?,by prostatic adenocarcinoma
image535,What does inset in the photomicrograph show by prostatic adenocarcinoma?,perineural invasion by prostatic adenocarcinoma
image535,What shows perineural invasion by prostatic adenocarcinoma?,inset in the photomicrograph
image535,What does the field show?,microacini of small malignant cells infiltrating the prostatic stroma
image535,What shows microacini of small malignant cells infiltrating the prostatic stroma?,the field stroma
image536,What is microscopic appearance of normal testis contrasted with?,that of cryptorchid testis
image536,What is contrasted with that of cryptorchid testis?,microscopic appearance of normal testis
image536,How is microscopic appearance of normal testis contrasted?,with that of cryptorchid testis
image537,"What corresponds to the raised,  more pigmented central zone seen in the figure inset?",the central dermal component
image537,What corresponds to the less pigmented flat peripheral rim?,an asymmetric shoulder of exclusively junctional melanocytes 
image538,What are also seen?,tan areas of haemorrhage
image539,What do tumor cells have in oligodendroglioma?,round nuclei
image539,"What have round nuclei,  often with a clear cytoplasmic halo in oligodendroglioma?",tumor cells in oligodendroglioma
image539,How do tumor cells have round nuclei?,often with a clear cytoplasmic halo 
image540,"What contains endometrial glands, stroma and evidence of preceding old haemorrhage?",dense fibrocollagenic tissue
image540,What does dense fibrocollagenic tissue contain?,endometrial glands
image541,What is covered by silvery-white scale?,erythematous psoriatic plaques
image541,How is erythematous psoriatic plaques covered?,by silvery-white scale
image542,What are Malignant cells forming irregular glands with?,stratification wall
image542,What are seen invading the layers of the stomach wall?,malignant cells forming irregular glands with stratification wall
image542,What is markedly thickened?,wall of the stomach in the region of pyloric canal
image543,What shows dissolution of the tissue?,an infarct in the brain
image543,What does an infarct in the brain show of the tissue?,dissolution of the tissue
image544,What shows the regular layered pattern of elastic tissue?,normal media for comparison
image544,What did the normal media show of elastic tissue?,regular layered pattern of elastic tissue
image545,What do testicular teratomas contain?,mature cells from endodermal
image545,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image546,Where is the atypical mitotic figure in the field?,in the center
image546,What does the inset show?,a sentinel lymph node
image546,What is present in the center of the field?,an atypical mitotic figure
image546,What indicates dermal invasion (vertical growth)?,elevated areas
image546,"What shows a sentinel lymph node containing a tiny cluster of metastatic melanoma,  detected by staining for the melanocytic marker HMB-45?",the inset
image546,What do macular areas indicate?,superficial growth
image546,What indicates superficial growth?,macular areas
image546,What do elevated areas indicate?,dermal invasion
image547,How does the interstitium contain several epithelioid cell granulomas?,with central areas of caseation necrosis
image547,What are these granulomas surrounded by?,langhans 'giant cells and mantle of lymphocytes
image547,What does the interstitium contain?,several epithelioid cell granulomas with central areas of caseation necrosis
image548,What does one of the two chromosomes for 22q11 .2 not stain with?,the probe for 22q112
image548,What gives rise to the 22q11 .2 deletion syndrome (DiGeorge syndrome)?,this abnormality
image548,What does this abnormality give rise to?,the 22q112 deletion syndrome
image548,"What does not stain with the probe for 22q11 .2,  indicating a microdeletion in this region?",one of the two chromosomes
image549,What does the cortex show?,characteristic 'flea bitten kidney '
image549,What is the kidney enlarged in?,size and weight
image550,What is pale while the margin is haemorrhagic?,the central area
image550,What lies internally?,the apex
image550,What is on the surface?,the wedge-shaped infarct
image550,Where is the wedge-shaped infarct slightly depressed?,on the surface
image550,What is slightly depressed on the surface?,the wedge-shaped infarct
image551,What does the cortex show visible through the capsule?,tiny petechial haemorrhages
image551,How is the kidney?,enlarged in size and weight
image552,What is separated from test solution below?,suspension of leucocytes above
image552,What shows migration of neutrophils towards chemotactic agent?,lower half of chamber
image552,What does lower half of chamber show?,migration neutrophils towards chemotactic agent
image553,What is there of a lipogranuloma having central pool of fat and surrounded by mixed inflammatory cells and foreign body type multinucleated giant cells?,presence of a lipogranuloma
image554,What are papillae covered with ?,well oriented and orderly layers of squamous cells
image555,What does the silver methenamine-stained glomerulus appear normal with?,a delicate basement membrane
image555,"What appears normal,  with a delicate basement membrane?",the silver methenamine-stained glomerulus
image555,How does the silver methenamine-stained glomerulus appear ?,with a delicate basement membrane
image556,What is thickened and infiltrated by acute and chronic inflammatory cells?,bronchial wall
image556,What is the bronchial wall thickened and infiltrated by?,acute and chronic inflammatory cells
image556,What is the mucosa sloughed off at places with?,exudate of muco-pus in the lumen
image557,What does this image show?,ameloblastic fibroma
image558,What is present?,submaxillary gland
image559,What does this image show?,dentigerous cyst
image560,What does this image show?,odontogenic myxoma
image561,What does this image show?,epulis fissuratum
image562,What does this image show?,cavernous hemangioma
image563,What does this image show?,sjogrens syndrome
image564,What does this image show?,pleomorphic adenoma benign mixed tumor
image565,What does this image show?,kaposi sarcoma
image566,What does this image show?,verruca vulgaris
image567,What does this image show?,irritation fibroma
image568,What does this image show?,multiple endocrine neoplasia type ii b-neuroma
image569,What does this image show?,granular cell tumor
image570,What does this image show?,granular cell tumor
image571,What does this image show?,traumatic neuroma
image572,What does this image show?,inflamatory papillary hyperplasia
image573,What does this image show?,schwanoma neurilemoma
image574,What does this image show?,amalgam tattoo
image575,What does this image show?,epithelial hyperplasia and hyperkeratosis
image576,What does this image show?,mucoepidermoid carcinoma
image577,What does this image show?,cicatricial pemphigoid
image578,What does this image show?,necrotizing sialometaplasia
image579,What does this image show?,pagets disease
image580,What does this image show?,epithelial hyperplasia and hyperkeratosis
image581,What does this image show?,langerhans cell histiocytosis eosinophilic granuloma
image582,What does this image show?,nicotine stomatitis
image583,What does this image show?,necrotizing sialometaplasia
image584,What does this image show?,necrotizing sialometaplasia
image585,What does this image show?,lichen planus
image586,What does this image show?,squamous cell carcinoma
image587,What does this image show?,fordyce granules
image588,What does this image show?,mucoepidermoid carcinoma
image589,What does this image show?,mucoepidermoid carcinoma
image590,What does this image show?,squamous cell carcinoma
image591,What does this image show?,sjogrens syndrome
image592,What does this image show?,multiple myeloma
image593,What does this image show?,adenoid cystic carcinoma
image594,What does this image show?,adenoid cystic carcinoma
image595,What does this image show?,verrucous carcinoma
image596,What does this image show?,dense sclerotic bone
image597,What does this image show?,secondary dentin and pulp calcification
image598,What does this image show?,chronic hyperplasitic pulpitis
image599,What does this image show?,chronic pulpitis
image600,What does this image show?,periapical granuloma
image601,What does this image show?,chronic pulpitis
image602,What does this image show?,central giant cell lesion
image603,What does this image show?,traumatic bone cyst simple bone cyst
image604,What does this image show?,secondary dentin and pulp calcification
image605,What does this image show?,x-ray left side angiogram
image606,What does this image show?,x-ray air contrast showing enlarged lateral ventricles
image607,What does cat scan?,hemorrhage in putamen area
image607,What does this image show?,cat scan hemorrhage in putamen area
image608,What does cat scan?,putamen hemorrhage
image608,What does this image show?,cat scan putamen hemorrhage
image609,What does this image show?,synovial proliferation
image610,What does this image show?,skeletal muscle
image610,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image611,What does this image show?,high new bone formation with osteoblasts and osteoclasts a good but not the best example
image612,What does this image show?,high excessive fibrous callus with focal osteoid deposition and osteoblasts
image613,What does this image show?,skeletal muscle
image613,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image614,What does this image show?,skeletal muscle
image614,"Why does this image show skeletal muscle, atrophy?",due to immobilization cast
image615,What does this image show?,high osteoid deposition with new bone formation and osteoblasts also cartilage excellent example case is a non-union
image615,What is a non-union?,excellent example case
image615,How does this image show high osteoid deposition?,with new bone formation and osteoblasts also cartilage excellent example case is a non-union 
image616,What does this image show?,stomach primary
image617,What does this image show?,atherosclerotic emboli
image617,What is present?,soft tissue
image618,What does this image show?,excellent example case of myasthenia gravis treated
image618,What is present?,soft tissue
image619,What does this image show?,tumor induced new bone formation large myofibroblastic osteoblastic cells in stroma with focus of osteoid case of 8 year survival Breast intraductal papillary adenocarcinoma
image619,How is tumor induced new bone formation large myofibroblastic osteoblastic cells in stroma?,focus of osteoid case of 8 year survival Breast intraductal papillary adenocarcinoma 
image619,What is tumor induced?,new bone formation large myofibroblastic osteoblastic cells in stroma with focus of osteoid case of 8 year survival Breast intraductal papillary adenocarcinoma
image620,What is present?,soft tissue
image620,What does this image show?,high excellent atrophy secondary to steroid therapy
image621,What does this image show?,anaplastic tumor cells and osteoid
image622,What does this image show?,lesions easily seen treated myelogenous leukemia complicated by infection and dic
image622,What is present?,soft tissue
image623,Why does this image show high excellent atrophy?,due to steroid therapy
image623,What is present?,soft tissue
image623,What does this image show?,high excellent atrophy due to steroid therapy
image624,What does this image show?,nice photo of ossifying trabecular bone
image625,What is present?,soft tissue
image625,What does this image show?,marked neurological atrophy
image626,What does this image show?,good depiction focal fiber atrophy
image626,What is present?,soft tissue
image627,How does this image show med metastasis in marrow?,with no evidence of osteoblastic activity 15l893 
image627,What does this image show?,med metastasis in marrow with no evidence of osteoblastic activity 15l893
image628,What does this image show?,osteoclasts quite well shown marrow diffuse infiltration with malignant lymphoma
image629,What does this image show?,chronic inflammatory cells in synovial villus excellent russell body case 31
image630,What does this image show?,section from tumor near codmans triangle reactive bone representing area of tumor with hair on end appearance
image631,What does this image show?,popliteal cyst myxoid
image632,What does this image show?,neoplastic osteoblasts and tumor osteoid
image633,What does this image show?,stomach primary
image634,What is present?,soft tissue
image635,What does this image show?,neoplastic osteoblasts and tumor osteoid
image636,What does this image show?,popliteal cyst myxoid
image637,What does this image show?,high excellent new bone formation with osteoblasts
image638,What induced atrophy?,high excellent steroid
image638,What is present?,soft tissue
image638,What does this image show?,high excellent steroid induced atrophy
image639,What does this image show?,high excessive fibrous callus in a non-union excellent granulation type tissue with collagen
image640,What is present?,soft tissue
image640,What does this image show?,skeletal muscle atrophy
image641,What does this image show?,high excellent example of bone with remodeling and osteoblasts that now appear inactive
image642,What does this image show?,high excellent granulation tissue new bone formation and osteoclasts or chondroclasts
image643,What is there?,a fracture
image643,How does this image show high excellent osteoid deposition?,with osteoclasts there is a fracture 
image643,What does this image show?,high excellent osteoid deposition with osteoclasts there is a fracture
image644,What does this image show?,high excessive fibrous callus in a non-union excellent granulation type tissue with collagen
image645,What is present?,soft tissue
image645,What does this image show?,skeletal muscle atrophy
image646,What is present?,soft tissue
image646,What does this image show?,tracheotomy site
image647,What does this image show?,high excessive fibrous callus with focal osteoid deposition with osteoblasts
image648,What does this image show?,high good example bone formation with osteoid and osteoblasts
image648,How does this image show high good example bone formation?,with osteoid and osteoblasts 
image649,What is present?,soft tissue
image650,What is present?,soft tissue
image650,What does this image show?,skeletal muscle atrophy
image651,What does this image show?,high excellent plus enchondral bone formation with osteoid osteoblasts from a non union 81
image652,How does this image show high fibrous callus and osteoid?,with osteoblasts from a non-union 
image652,What does this image show?,high fibrous callus and osteoid with osteoblasts from a non-union
image653,What does this image show?,high excellent enchondral bone formation with osteoid osteoblasts osteoclasts
image654,What is present?,soft tissue
image654,What does this image show?,skeletal muscle atrophy
image655,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image656,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image657,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image658,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image659,What stain?,this image shows lung
image660,What does this image show?,thermal burn
image661,What does this image show?,thermal burn
image662,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image663,"Why does this image show brain, infarct?",due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery plasmacytic astrocytes
image664,"How does this image show lung, pneumonia and hemosiderin laden macrophages in patient?",with sickle cell disease iatrogenic hemosiderosis 
image665,"How does this image show lung, pneumonia and hemosiderin laden macrophages in patient?",with sickle cell disease iatrogenic hemosiderosis 
image666,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image667,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image668,"How does this image show lung, sarcoidosis, multinucleated giant cells?",with asteroid bodies 
image669,"Why does this image show lung, pulmonary edema in patient with congestive heart failure?",due to transplant rejection
image670,What does this image show?,Breast cancer metastasis to lung
image671,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image672,What does this image show?,kaposis 's sarcoma in the lung
image673,"What was talc used, alpha-1 antitrypsin deficiency?",used to sclerose emphysematous lung
image674,"Why does this image show lung, hyaline membrane disease, yellow discoloration?",due to hyperbilirubinemia
image675,What is present ?,basilar skull fracture
image675,What does this image show?,multiple fractures very well
image675,What is present?,basilar skull fracture
image675,What is present ?,"bone, calvarium"
image676,What is present ?,basilar skull fracture
image676,What is present?,basilar skull fracture
image677,What is present?,maxillary sinus
image677,How does this image show view of head?,with huge ulcerated mass where tumor grew to outside 
image677,What is present ?,maxillary sinus
image677,What is present ?,squamous cell carcinoma
image677,What does this image show?,view of head with huge ulcerated mass where tumor grew to outside
image677,What is present?,squamous cell carcinoma
image678,What is present ?,"bone, calvarium"
image678,What does this image show?,dr garcia tumors b6
image679,What is present?,cleft palate
image679,What is present ?,cleft palate
image679,What does this image show?,left side lesion
image680,What is present?,basilar skull fracture
image680,What is present ?,"bone, calvarium"
image680,What is present ?,basilar skull fracture
image681,What does this image show?,opened skull looking into foramina magna single fused calvarium twins with separate brainstems
image681,What is present ?,cephalothoracopagus janiceps
image681,What is present?,cephalothoracopagus janiceps
image682,What is present ?,metastatic carcinoma
image682,What is skull cap with obvious metastatic lesion seen?,on inner table prostate primary
image682,What seen on inner table prostate primary ?,skull cap with obvious metastatic lesion
image682,What is present?,metastatic carcinoma
image682,What does this image show?,skull cap with obvious metastatic lesion seen on inner table prostate primary
image682,Where does this image show skull cap with obvious metastatic lesion seen on?,inner table prostate primary
image683,What does this image show?,multiple fractures
image683,What is present?,basilar skull fracture
image683,What is present ?,"bone, calvarium"
image683,What is present ?,basilar skull fracture
image684,What does this image show?,black and white dr garcia tumors b68
image684,What is present ?,"bone, clivus"
image685,What does this image show?,close-up of obvious lesion primary in prostate
image685,What is present ?,metastatic carcinoma
image685,What is present?,metastatic carcinoma
image686,What is present?,beckwith-wiedemann syndrome
image686,What is present ?,beckwith-wiedemann syndrome
image687,What is present?,potters facies
image687,What does this image show?,view of low set ears
image687,What is present ?,potters facies
image688,What is present ?,bilateral cleft palate
image688,What is present?,bilateral cleft palate
image689,What does this image show?,sagittal section of atlas vertebra and occipital bone foramen magnum stenosis case 31
image689,What is present ?,rheumatoid arthritis
image689,What is present ?,"bone, calvarium"
image689,What is present?,rheumatoid arthritis
image690,What is present?,potters facies
image690,What is present ?,potters facies
