image,question,answer
image2315,What is present ?,basilar skull fracture
image2315,What is present?,basilar skull fracture
image2316,What is present?,metastatic malignant ependymoma
image2316,What does this image show?,x-ray chest well shown left hilar mass tumor in hilar node
image2317,What does this image show?,well shown meningitis purulent
image2318,What does this image show?,neural tangle
image2319,"Why does this image show brain, infarct?",due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery
image2320,"Why does this image show brain, subarachanoid hemorrhage and hematoma?",due to ruptured aneurysm
image2321,"Why does this image show brain, infarct?",due to ruptured saccular aneurysm and thrombosis of right middle cerebral artery plasmacytic astrocytes
image2322,What does this image show?,touch impression from brain
image2323,What is present?,glial nodule
image2323,What does this image show?,typical nodule cause not known at time
image2324,What does this image show?,spinal cord injury due to vertebral column trauma
image2324,Why does this image show spinal cord injury?,due to vertebral column trauma
image2325,What does this image show?,brain lymphoma
image2326,What is present?,neurofibrillary change
image2327,What does this image show?,herpes simplex virus
image2328,What does this image show?,gram stain gram negative bacteria
image2328,What is present?,meningitis purulent
image2329,What does this image show?,herpes simplex virus
image2330,What does this image show?,neural tube defect
image2331,What does this image show?,neural tube defect
image2332,What does this image show?,hilar lymph nodes
image2332,"How does this image show hilar lymph nodes, nodular sclerosing hodgkins disease and diffuse alveolar damage?",with hemorrhagic pneumonia 
image2333,What does this image show?,lung fibrosis
image2334,What does this image show?,Breast cancer metastasis to lung
image2335,What does this image show?,lung fibrosis
image2336,What does this image show?,normal lung
image2337,"How does this image show lung, bronchitis and oxygen toxicity?",with hyaline membranes 
image2338,What does this image show?,cryptococcal pneumonia
image2339,What does this image show?,well shown ulcerative lesion in right pyriform sinus
image2339,What is present?,squamous cell carcinoma
image2340,What does this image show?,large ulcerative lesion in pyriform sinus natural color
image2340,What is present?,squamous cell carcinoma
image2341,What does this image show?,surgical specimen with molar tooth large ulcerating carcinoma on hard palate excellent example -66
image2341,What is present?,squamous cell carcinoma
image2342,What does this image show?,excellent depiction natural color large ulcerative carcinoma on left cord
image2343,What does this image show?,large fungating lesion very good photo
image2344,What is present?,ulcer due to tube
image2345,What is present ?,hemorrhage in newborn
image2345,What had fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant lesion ruptured causing ?,ruptured 20 ml hemoperitoneum unusual
image2345,What had ruptured causing 20 ml hemoperitoneum unusual lesion ?,fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant
image2345,Where does this belong to?,endocrine system
image2345,What is present?,hemorrhage in newborn
image2345,What does this image show?,fixed tissue hemorrhage hematoma in left adrenal of premature 30 week gestation gram infant lesion had ruptured causing 20 ml hemoperitoneum unusual lesion
image2345,What had ruptured causing 20 ml hemoperitoneum?,adrenal of premature 30 week gestation gram infant lesion
image2346,What does this image show?,fixed tissue nice close-up view of cortical nodules
image2346,Where does this belong to?,endocrine system
image2347,Where does this belong to?,endocrine system
image2348,Where does this belong to?,endocrine system
image2349,Where does this belong to?,endocrine system
image2349,What is present?,metastatic carcinoma
image2349,What does this image show?,sectioned gland bilateral lesions excellent example
image2349,What is present ?,metastatic carcinoma
image2350,Where does this belong to?,endocrine system
image2351,What does this image show?,adrenal phaeochromocytoma
image2351,Where does this belong to?,endocrine system
image2352,Where does this belong to?,endocrine system
image2353,Where does this belong to?,endocrine system
image2354,Where does this belong to?,endocrine system
image2354,What does this image show?,adrenal gland
image2355,Why does this image show cortical and medullary hemorrhage not extensive but clearly evident case of pneumococcal meningitis lesion probably?,due to septic shock
image2355,What does this image show?,cortical and medullary hemorrhage not extensive but clearly evident case of pneumococcal meningitis lesion probably due to septic shock
image2355,Where does this belong to?,endocrine system
image2356,Where does this belong to?,endocrine system
image2357,Where does this belong to?,endocrine system
image2357,What does this image show?,adrenal phaeochromocytoma
image2358,Where does this belong to?,endocrine system
image2359,Where does this belong to?,endocrine system
image2360,What is present ?,carcinoma metastatic lung
image2360,What does this image show?,fixed tissue close-up excellent except for color
image2360,What is present?,carcinoma metastatic lung
image2360,Where does this belong to?,endocrine system
image2361,Where does this belong to?,endocrine system
image2362,Where does this belong to?,endocrine system
image2363,Where does this belong to?,endocrine system
image2363,What does this image show?,adrenal phaeochromocytoma
image2364,Where does this belong to?,endocrine system
image2365,What does this image show?,adrenal phaeochromocytoma
image2365,Where does this belong to?,endocrine system
image2366,What is shown well?,close-up tumor
image2366,What is present ?,metastatic carcinoma oat cell
image2366,What is shown well ?,close-up tumor
image2366,Where does this belong to?,endocrine system
image2366,What is present?,metastatic carcinoma oat cell
image2366,What does this image show?,close-up tumor is shown well
image2366,What is close-up tumor well ?,tumor shown
image2366,What is close-up tumor well?,tumor shown
image2367,Where does this belong to?,endocrine system
image2367,What does this image show?,fixed tissue nice close-up of moderate size cortical nodule or adenoma
image2368,What is present?,hemorrhage associated with placental abruption
image2368,What does this image show?,fixed tissue but good color gland not recognizable as such
image2368,What is present ?,hemorrhage associated with placental abruption
image2368,Where does this belong to?,endocrine system
image2369,What is carcinoma had?,"metastases to lungs, pleura, liver and regional nodes"
image2369,What had colon carcinoma ?,section through thyroid and trachea
image2369,What is 70yof had?,colon carcinoma
image2369,Where does this belong to?,endocrine system
image2369,What is carcinoma had?,metastases to lungs
image2369,What is 70yof had?,colon carcinoma
image2369,What is fibrotic lesion said?,to be undifferentiated carcinoma had metastases to lungs
image2369,What is section through thyroid and trachea had?,colon carcinoma
image2369,How does this image show section through?,thyroid and trachea apparently 
image2369,What does this image show?,section through thyroid and trachea apparently
image2369,"What said to be undifferentiated carcinoma had metastases to lungs, pleura, liver and regional nodes 70yof also had colon carcinoma?",fibrotic lesion
image2370,Where is this from?,female reproductive system
image2370,What is present?,female reproductive
image2370,What does this image show?,normal breast
image2370,What is present ?,female reproductive
image2371,What is present?,female reproductive
image2371,What does this image show?,lymphocytic infiltrate on peritoneal surface
image2371,What is present ?,malignant lymphoma
image2371,What is present ?,female reproductive
image2371,Where is this from?,female reproductive system
image2371,What is present?,malignant lymphoma
image2372,What is present ?,sickle cell disease
image2372,Where is this from?,female reproductive system
image2372,What is present?,sickle cell disease
image2372,What is present?,female reproductive
image2372,What is present ?,female reproductive
image2373,Where is this from?,female reproductive system
image2373,What is present ?,female reproductive
image2373,What is present?,female reproductive
image2374,What is present ?,female reproductive
image2374,Where is this from?,female reproductive system
image2374,What is present?,female reproductive
image2375,What is present ?,female reproductive
image2375,Where is this from?,female reproductive system
image2375,What is present?,female reproductive
image2376,What is present ?,female reproductive
image2376,Where is this from?,female reproductive system
image2376,What is present?,female reproductive
image2377,What does this image show?,shows early placental development
image2377,What is present?,female reproductive
image2377,What is present?,fetus developing very early
image2377,Where is this from?,female reproductive system
image2377,What is present ?,female reproductive
image2377,What is present ?,fetus developing very early
image2378,What does this image show?,excellent photo of pleomorphic spindle cell tumor with storiform pattern
image2378,What is present?,female reproductive
image2378,Where is this from?,female reproductive system
image2378,What is present ?,female reproductive
image2378,How does this image show excellent photo of pleomorphic spindle cell tumor?,with storiform pattern 
image2379,What is present ?,mixed mesodermal tumor
image2379,What is present ?,female reproductive
image2379,Where is this from?,female reproductive system
image2379,What is present?,mixed mesodermal tumor
image2379,What is present?,female reproductive
image2379,What does this image show?,bizarre strap and fusiform cells
image2380,Where is this from?,female reproductive system
image2380,What is present?,female reproductive
image2380,What is present ?,female reproductive
image2381,Where is this from?,female reproductive system
image2381,What is present?,female reproductive
image2381,What is present ?,female reproductive
image2382,What is present ?,female reproductive
image2382,Where is this from?,female reproductive system
image2382,What is present?,female reproductive
image2383,What is present ?,acute peritonitis
image2383,What is present?,acute peritonitis
image2384,What is present ?,Situs Inversus
image2384,What is present?,situs Inversus
image2385,What does case of peritonitis slide illustrate?,pus from the peritoneal cavity
image2385,What is present ?,pus in test tube
image2385,What illustrates pus from the peritoneal cavity ?,case of peritonitis slide
image2385,What is present?,pus in test tube
image2385,What does this image show?,case of peritonitis slide illustrates pus from the peritoneal cavity
image2385,What does case of peritonitis slide illustrate?,pus from the peritoneal cavity
image2385,What illustrates pus from the peritoneal cavity?,case of peritonitis slide
image2386,What is present ?,retroperitoneal liposarcoma
image2386,What cut surface natural color yellow and white typical gross sarcoma ?,nodular tumor
image2386,What is nodular tumor cut?,surface natural color yellow and white typical gross sarcoma
image2386,What is present?,retroperitoneal liposarcoma
image2386,What does this image show?,nodular tumor cut surface natural color yellow and white typical gross sarcoma
image2386,What is nodular tumor cut?,surface natural color yellow and white typical gross sarcoma
image2386,What cut surface natural color yellow and white typical gross sarcoma?,nodular tumor
image2387,What is present?,retroperitoneal leiomyosarcoma
image2387,What does this image show?,opened muscle probably psoas natural color large ovoid typical sarcoma
image2387,What psoas natural color large ovoid typical sarcoma?,opened muscle
image2387,What psoas natural color large ovoid typical sarcoma ?,opened muscle
image2387,What is present ?,retroperitoneal leiomyosarcoma
image2388,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma?,this section showing liver tumor mass in hilar area tumor
image2388,What does this section showing liver with tumor mass in hilar area tumor show?,cut surface fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma
image2388,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma ?,this section showing liver tumor mass in hilar area tumor
image2388,What does this section showing liver with tumor mass in hilar area tumor show?,cut surface fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma
image2389,What is present?,metastatic carcinoma
image2389,What is present ?,metastatic carcinoma
image2390,What is present ?,acute peritonitis
image2390,What does this image show?,in situ of abdomen excellent fibrinopurulent peritonitis
image2390,What is present?,acute peritonitis
image2391,What does this image show?,muscle ruthenium red to illustrate glycocalyx
image2392,What does this image show?,chagas disease
image2393,What is present?,coronary artery
image2393,What is present ?,coronary artery
image2393,What does this image show?,intimal smooth muscle cells with lipid in cytoplasm and precipitated lipid in interstitial space
image2393,How does this image show intimal smooth muscle cells?,with lipid in cytoplasm and precipitated lipid in interstitial space 
image2394,What is present?,chronic ischemia
image2394,What does show lesion containing no lipid ?,myocytolysis not
image2394,What does myocytolysis not show containing no lipid ?,show lesion
image2394,What is present ?,chronic ischemia
image2395,What is present ?,coronary artery
image2395,What is present?,coronary artery
image2395,What does this image show?,foam cell
image2396,What does this image show?,fibroblasts in adventitia of monkey basilar artery
image2396,What is present ?,cranial artery
image2396,What is present?,cranial artery
image2397,What does this image show?,sarcoplasmic reticulum
image2398,What does this image show?,proximal tubule and fenestrated capillary can be used to illustrate capillary epithelial cell relations and functions
image2399,What does this image show?,skeletal muscle
image2400,What does this image show?,skeletal muscle
image2401,What does this image show?,two nipples
image2401,What is present ?,Nipple Duplication
image2401,What is present?,Nipple Duplication
image2402,Where does this belong to?,gastrointestinal system
image2403,What does this image show?,stress ulcers
image2403,Where does this belong to?,gastrointestinal system
image2404,Where does this belong to?,gastrointestinal system
image2404,What does this image show?,small intestine
image2405,Where does this belong to?,gastrointestinal system
image2405,What does this image show?,duodenal ulcer
image2406,Where does this belong to?,gastrointestinal system
image2407,Where does this belong to?,gastrointestinal system
image2408,Where does this belong to?,gastrointestinal system
image2408,What does this image show?,normal esophagus
image2409,What ingested as suicide attempt ?,"stomach, necrotizing esophagitis and gastritis, sulfuric acid"
image2409,"What is stomach , necrotizing esophagitis and gastritis , sulfuric acid ingested?",as suicide attempt
image2409,Where does this belong to?,gastrointestinal system
image2410,Where does this belong to?,gastrointestinal system
image2411,Where does this belong to?,gastrointestinal system
image2412,Where does this belong to?,gastrointestinal system
image2413,What does this image show?,stomach and esophagus
image2413,Where does this belong to?,gastrointestinal system
image2414,Where does this belong to?,gastrointestinal system
image2414,What does this image show?,sigmoid colon
image2415,Where does this belong to?,gastrointestinal system
image2416,Why does this image show esophageal varices?,due to alcoholic cirrhosis
image2416,What does this image show?,esophageal varices due to alcoholic cirrhosis
image2416,Where does this belong to?,gastrointestinal system
image2417,Where does this belong to?,gastrointestinal system
image2418,What is embryo-fetus ?,fetus present
image2418,What is embryo-fetus?,fetus present
image2418,What does this image show?,pharyngeal pouch remnant
image2419,What does this image show?,hepatitis b virus
image2420,What does this image show?,hepatitis b virus
image2421,What does this image show?,hepatitis b virus
image2422,What does this image show?,hepatitis b virus
image2423,What does this image show?,hepatitis b virus
image2424,What does this image show?,lymph node
image2425,What does this image show?,lymph node
image2426,What does this image show?,lymph node
image2427,What does this image show?,lymph node
image2428,What does this image show?,lymph node
image2429,What does this image show?,lymph nodes
image2430,How does this image show typical area of caseous necrosis?,with nearby early granuloma quite good source unknown 
image2430,What does this image show?,typical area of caseous necrosis with nearby early granuloma quite good source unknown
image2430,What is present?,lymph node
image2431,What does this image show?,lymph nodes
image2432,What does this image show?,lymph nodes
image2433,What does this image show?,stomach primary
image2433,What is present?,lymph node
image2433,What is present?,metastatic carcinoma
image2434,What does this image show?,lymph node
image2435,What does this image show?,lymph node
image2436,What is present?,lymph node
image2437,What does this image show?,nice example lymphocyte depleted medullary area
image2437,What is present?,lymph node
image2437,What is present?,Di george syndrome
image2438,What does this image show?,lymph nodes
image2439,What does this image show?,good example necrotizing granuloma with giant cells
image2439,What is present?,lymph node
image2440,What does this image show?,lymph nodes
image2441,What does this image show?,lymph nodes
image2442,What is present?,burkitts lymphoma
image2442,What does this image show?,excellent for starry sky appearance but not the best histology source
image2442,What is present?,lymph node
image2443,What does this image show?,external view with capsule stripped
image2443,How does this image show external view?,with capsule stripped 
image2443,What is present?,multiple cysts
image2444,What does this image show?,obviously greatly swollen and pale kidney
image2444,What is present?,transplant acute rejection
image2445,What does this image show?,prostatic hyperplasia
image2446,What does this image show?,normal kidney
image2447,What is present?,polycystic disease infant
image2447,What does this image show?,kidneys in situ with other organs removed dramatic demonstration of size of kidneys
image2447,What is other organs removed?,dramatic demonstration of size of kidneys
image2447,What removed dramatic demonstration of size of kidneys?,other organs
image2448,What is present?,renal cell carcinoma
image2449,What is present?,ischemia newborn
image2450,What does this image show?,kidney candida abscesses from patient with acute myelogenous leukemia
image2451,What is present?,metastatic carcinoma lung
image2451,What does this image show?,single large lesion quite good
image2452,What does this image show?,staghorn calculi in renal pelvis
image2453,What does this image show?,cut surface
image2454,What does this image show?,hemolytic disease of newborn
image2455,What does this image show?,herpes zoster
image2456,Where is this electron microscopy figure taken?,gastrointestinal system
image2457,What does this image show?,malignant cells mixed mesodermal tumor of uterus
image2457,What is present?,peritoneal fluid
image2457,What is present ?,peritoneal fluid
image2458,What does this image show?,coronary artery atherosclerosis diagram
image2459,What does this image show?,coronary artery atherosclerosis diagram
image2460,Where is this part in the figure?,endocrine system
image2460,What does this image show?,parathyroid adenoma
image2461,Where is this part in the figure?,endocrine system
image2462,"How does this image show adrenal, polyarteritis nodosa?",with infarct 
image2462,Where is this part in the figure?,endocrine system
image2463,Where is this part in the figure?,endocrine system
image2464,What does this image show?,parathyroid adenoma
image2464,Where is this part in the figure?,endocrine system
image2465,Where is this part in the figure?,endocrine system
image2466,Where is this part in the figure?,endocrine system
image2467,What does this image show?,primary in stomach
image2467,Where is this part in the figure?,endocrine system
image2467,What is present?,metastatic carcinoma
image2467,What is present ?,metastatic carcinoma
image2468,What does this image show?,hyalin material in pituitary which is amyloid
image2468,Where is this part in the figure?,endocrine system
image2469,What was section through pituitary stalk showing what remains sella of type i diabetes with pituitectomy for retinal lesions 9 years ?,empty case
image2469,Where is this part in the figure?,endocrine system
image2469,What was empty case of type i diabetes with pituitectomy for retinal lesions 9 years ?,section through pituitary stalk showing what remains sella
image2469,What was sella of type i diabetes with pituitectomy for retinal lesions 9 years?,empty case
image2470,What does this image show?,typical lesion in small artery just outside capsule
image2470,What is present?,atheromatous embolus
image2470,What is present ?,atheromatous embolus
image2470,Where is this part in the figure?,endocrine system
image2471,What does this image show?,hashimoto 's thyroiditis
image2471,Where is this part in the figure?,endocrine system
image2472,What does this image show?,hashimoto 's thyroiditis
image2472,Where is this part in the figure?,endocrine system
image2473,Where is this part in the figure?,endocrine system
image2473,What does this image show?,iron stain
image2474,What has folds?,outside adrenal capsule section
image2474,What does this image show?,healing lesion in medium size artery just outside adrenal capsule section has folds
image2474,What is present?,polyarteritis nodosa
image2474,What has folds ?,healing lesion in medium size artery just outside adrenal capsule section
image2474,What is present ?,polyarteritis nodosa
image2474,Where is this part in the figure?,endocrine system
image2475,What does this image show?,hashimoto 's thyroiditis
image2475,Where is this part in the figure?,endocrine system
image2476,What does this image show?,pigment in area of zona glomerulosa
image2476,Where is this part in the figure?,endocrine system
image2477,What is present ?,mucoepidermoid carcinoma
image2477,What is present?,mucoepidermoid carcinoma
image2477,Where is this part in the figure?,endocrine system
image2477,What does this image show?,nice photo of parotid on one side with tumor capsule and obvious invasive tumor
image2478,What is present ?,normal immature infant
image2478,Where is this part in the figure?,endocrine system
image2478,What is present?,normal immature infant
image2479,What does this image show?,hashimoto 's thyroiditis
image2479,Where is this part in the figure?,endocrine system
image2480,What does this image show?,thyroid gland
image2480,Where is this part in the figure?,endocrine system
image2481,Where is this part in the figure?,endocrine system
image2481,What is present?,normal immature infant
image2481,What is present ?,normal immature infant
image2482,Where does this part belong to?,female reproductive system
image2483,What does this image show?,vaginal herpes
image2483,Where does this part belong to?,female reproductive system
image2484,What is present?,no tissue recognizable as ovary
image2484,What is present ?,female reproductive
image2484,What is present?,female reproductive
image2484,What is present?,mucinous cystadenocarcinoma
image2484,Where does this belong to?,female reproductive system
image2484,What is present ?,external view typical appearance but no tissue recognizable as ovary
image2484,What does this image show?,external view typical appearance
image2484,What is present ?,mucinous cystadenocarcinoma
image2485,Where does this part belong to?,female reproductive system
image2485,What is present?,mixed mesodermal tumor
image2485,What does this image show?,opened uterus with polypoid mass
image2485,What is present?,female reproductive
image2485,What is present ?,female reproductive
image2485,What is present ?,mixed mesodermal tumor
image2486,Where does this belong to?,female reproductive system
image2486,What does this image show?,fixed tissue saggital section of organ with bosselated myoma
image2486,What is present?,female reproductive
image2486,What is present ?,female reproductive
image2487,What does this image show?,opened uterus with adnexa and hemorrhagic mass in ovary
image2487,What is present?,female reproductive
image2487,What is present?,hemorrhagic corpus luteum
image2487,Where does this belong to?,female reproductive system
image2487,What is present ?,hemorrhagic corpus luteum
image2487,What is present ?,female reproductive
image2488,Where does this belong to?,female reproductive system
image2488,What is not diagnostic ?,this partially fixed gross
image2488,What is present ?,granulosa cell tumor
image2488,What is present ?,female reproductive
image2488,What is present?,female reproductive
image2488,What is present?,granulosa cell tumor
image2488,What is not diagnostic?,this partially fixed gross
image2489,What is present?,mixed mesodermal tumor
image2489,Where does this part belong to?,female reproductive system
image2489,What demonstrated ?,uterus polypoid tumor
image2489,What is present ?,female reproductive
image2489,What does this image show?,opened uterus polypoid tumor demonstrated
image2489,What is present?,female reproductive
image2489,What is present ?,mixed mesodermal tumor
image2490,What does this image show?,sectioned uterus shown close-up with typical small myomas very good
image2490,What is present ?,female reproductive
image2490,What is present?,female reproductive
image2490,Where does this part belong to?,female reproductive system
image2491,Where does this part belong to?,female reproductive system
image2491,What does this image show?,ovarian cysts
image2492,What is present ?,mucinous cystadenocarcinoma
image2492,What is present ?,female reproductive
image2492,What is the excellent uterus in and thus illustrates the very large size of the ovarian tumor?,in picture
image2492,What is in picture and thus illustrates the very large size of the ovarian tumor?,the excellent uterus
image2492,Where does this belong to?,female reproductive system
image2492,What is the excellent uterus in and thus illustrates the very large size of the ovarian tumor ?,in picture
image2492,What is in picture and thus illustrates the very large size of the ovarian tumor ?,the excellent uterus
image2492,What is present?,female reproductive
image2492,What is present?,mucinous cystadenocarcinoma
image2493,What is present ?,female reproductive
image2493,Where does this belong to?,female reproductive system
image2493,What is present?,female reproductive
image2493,What does this image show?,excellent example of rather large submucous myoma
image2494,Where does this part belong to?,female reproductive system
image2494,What does this image show?,opened lesion with necrotic center not too typical
image2494,What is present?,female reproductive
image2494,What is present?,benign cystic teratoma
image2494,What is present ?,benign cystic teratoma
image2494,What is present ?,female reproductive
image2495,What is present?,female reproductive
image2495,What does this image show?,necrotic central mass with thin fibrous capsule not all that typical 91yo
image2495,What is present ?,female reproductive
image2495,Where does this part belong to?,female reproductive system
image2495,What is present?,benign cystic teratoma
image2495,What is present ?,benign cystic teratoma
image2496,What was view of uterus tubes and ovaries showing large nodular metastatic tumor masses on ovaries and peritoneal surface of uterus and douglas pouch outstanding photo primary in this is true bilateral krukenberg ?,in the stomach
image2496,What is present ?,female reproductive
image2496,What is present ?,krukenberg tumor
image2496,Where does this belong to?,female reproductive system
image2496,What is present?,krukenberg tumor
image2496,What was in the stomach this is true bilateral krukenberg?,peritoneal surface of uterus and douglas pouch outstanding photo primary
image2496,What is this?,true bilateral krukenberg
image2496,What does this image show?,view of uterus tubes and ovaries showing large nodular metastatic tumor masses on ovaries
image2496,What was peritoneal surface of uterus and douglas pouch outstanding photo primary in this is true bilateral krukenberg?,in the stomach
image2496,What was in the stomach this is true bilateral krukenberg ?,view of uterus tubes and ovaries showing large nodular metastatic tumor masses on ovaries and peritoneal surface of uterus and douglas pouch outstanding photo primary
image2496,What is present?,female reproductive
image2496,What is this ?,true bilateral krukenberg
image2497,Where does this belong to?,female reproductive system
image2497,What is present?,cervical leiomyoma
image2497,What is present?,female reproductive
image2497,What is present ?,cervical leiomyoma
image2497,What does this image show?,close-up of cut surface of cervical myoma which is shown in relation to cervix and vagina
image2497,What is present ?,female reproductive
image2498,What is present?,female reproductive
image2498,What is present?,mucinous cystadenocarcinoma
image2498,Where does this belong to?,female reproductive system
image2498,What does this image show?,massive lesion taken at surgery size of basketball very good
image2498,What is present ?,female reproductive
image2498,What is present ?,mucinous cystadenocarcinoma
image2499,Where does this part belong to?,female reproductive system
image2499,What is present?,female reproductive
image2499,What does this image show?,cut surface 4 cm lesion 76yobf
image2499,What is present ?,female reproductive
image2500,Where does this part belong to?,female reproductive system
image2500,What does this image show?,opened uterus with three myomas quite typical
image2500,What is present ?,female reproductive
image2500,What is present?,female reproductive
image2501,What does this image show?,gravid uterus
image2501,Where does this part belong to?,female reproductive system
image2502,When does this image show 18 hours?,after cesarean section
image2502,What is present ?,female reproductive
image2502,Where does this belong to?,female reproductive system
image2502,What does this image show?,18 hours after cesarean section
image2502,What is present?,female reproductive
image2503,Where does this part belong to?,female reproductive system
image2504,What is present ?,female reproductive
image2504,Where does this part belong to?,female reproductive system
image2504,What is present?,female reproductive
image2504,What does this image show?,fixed tissue of tuberculosis
image2504,What is present?,fallopian tube
image2504,What is present ?,fallopian tube
image2505,What is present?,intraductal Papillomatosis With Apocrine Metaplasia
image2505,What is present ?,intraductal Papillomatosis With Apocrine Metaplasia
image2506,What is present ?,metastatic Carcinoma
image2506,What is present?,metastatic Carcinoma
image2506,How does this image show metastatic choriocarcinoma?,with extensive vascularization 
image2506,What does this image show?,metastatic choriocarcinoma with extensive vascularization
image2507,What are seen ?,intraductal lesions
image2507,What is present?,papillary Intraductal Adenocarcinoma
image2507,What does this image show?,excellent invasive tumor with marked desmoplastic reaction
image2507,How does this image show excellent invasive tumor?,with marked desmoplastic reaction 
image2507,What are seen?,intraductal lesions
image2507,What is present ?,papillary Intraductal Adenocarcinoma
image2508,What does this image show?,normal breast
image2509,What is present ?,six digits
image2509,What are too short ?,newborn with renal polycystic disease legs
image2509,What does this image show?,newborn with renal polycystic disease legs are too short
image2509,What are too short?,renal polycystic disease legs
image2509,What is present?,six digits
image2510,What is present?,pulmonary osteoarthropathy
image2510,How does this image show childs hands?,with obvious clubbing 
image2510,What does this image show?,childs hands with obvious clubbing
image2510,What is present ?,pulmonary osteoarthropathy
image2511,What does this image show?,good close-up of gangrene
image2512,What is present ?,pulmonary osteoarthropathy
image2512,What shows clubbing ?,this great toe
image2512,What is present?,pulmonary osteoarthropathy
image2512,What shows clubbing?,this great toe
image2513,What does this image show?,simian crease
image2514,What does this image show?,typical gangrene
image2515,What does this image show?,22wf juvenile rheumatoid arthritis mild deformity with high arch
image2516,What does this image show?,simian crease
image2517,What does this image show?,necrosis of distal finger in a patient with panniculitis and fascitis
image2517,What streptococcus a scepticemia in a patient with scleroderma who was on high dose steroids ?,necrosis of distal finger panniculitis and fascitis
image2518,What is present ?,pulmonary osteoarthropathy
image2518,What is present?,pulmonary osteoarthropathy
image2518,What does this image show?,obvious lesion
image2519,What does this image show?,simian crease
image2520,What does this image show?,good example exposure not the best but ok Rheumatoid Arthritis
image2521,What does this image show?,club feet with marked talipes equinovarus
image2521,How does this image show club feet?,with marked talipes equinovarus 
image2522,What does this image show?,nice photo of syndactyly
image2523,What does this image show?,good example source of gout
image2524,What does this image show?,very good example of focal necrotizing lesions in distal portion of digit associated with bacterial endocarditis
image2524,What associated with bacterial endocarditis ?,very good example of focal necrotizing lesions in distal portion of digit
image2524,What is very good example of focal necrotizing lesions in distal portion of digit associated?,with bacterial endocarditis
image2525,What does this image show?,simian crease
image2526,What does this image show?,gangrene both hands due to embolism case of av canal with downs syndrome
image2526,Why does this image show gangrene both hands?,due to embolism case of av canal with downs syndrome
image2526,How does this image show gangrene both hands due to embolism case of av canal?,with downs syndrome 
image2527,"Why does this image show kidney, thickened and hyalinized basement membranes?",due to diabetes mellitus pas
image2528,"Why does this image show kidney, thickened and hyalinized basement membranes?",due to diabetes mellitus pas
image2529,What does this image show?,abortive glomeruli
image2529,What is present?,polycystic disease infant
image2530,"Why does this image show squamous metaplasia, renal pelvis?",due to nephrolithiasis
image2530,What does this image show?,squamous metaplasia
image2531,"Why does this image show squamous metaplasia, renal pelvis?",due to nephrolithiasis
image2531,What does this image show?,squamous metaplasia
image2532,What does this image show?,kidney transplant rejection
image2533,What does this image show?,kidney transplant rejection
image2534,"Why does this image show renal pelvis, squamous metaplasia?",due to chronic urolithiasis
image2534,What does this image show?,renal pelvis
image2535,What does this image show?,giant cells and fibrosis
image2536,What does this image show?,kidney glomerulus
image2537,What does this image show?,atn acute tubular necrosis
image2538,What does this image show?,pas-alcian blue
image2539,"Why does this image show renal pelvis, squamous metaplasia?",due to chronic urolithiasis
image2539,What does this image show?,renal pelvis
image2540,What is opened chest with Breast plate removed?,easily seen air bubbles
image2540,What does this image show?,opened chest with Breast plate removed easily seen air bubbles
image2540,What removed easily seen air bubbles?,opened chest with Breast plate
image2541,What does this image show?,saggital sections rather close up near if not natural color excellent example myeloma lesions in marrow
image2542,What does this image show?,frontal section of lungs and massive tumor teratocarcinoma 20yowm
image2543,What cut surface?,close-up view of tumor
image2543,What does this image show?,rather close-up view of tumor cut surface
image2543,What is close-up view of tumor cut?,tumor cut surface
image2544,What does this image show?,metastatic carcinoma surrounding cava superior caval syndrome lung carcinoma
image2545,What is present?,lymph node
image2545,What is present?,metastatic carcinoma
image2545,What does this image show?,close-up view of nodes with obvious metastatic lesions and anthracotic pigment apparently from apex right lung apparently lung primary
image2546,What does this image show?,close-up enlarge white node with focal necrosis quite good
image2546,What is present?,lymph node
image2546,How does close-up enlarge white node?,focal necrosis quite good 
image2546,What does close-up enlarge?,up enlarge white node with focal necrosis quite good
image2546,What is present?,hodgkins disease
image2547,What is present?,lymph node
image2547,What does this image show?,lung and hilar node with healed and probably calcified granulomata in hilar node
image2548,What is present?,lymph node
image2548,What does this image show?,aorta not opened surrounded by large nodes
image2548,What is aorta not opened?,surrounded by large nodes
image2548,What opened surrounded by large nodes?,aorta not
image2548,What is present?,hodgkins disease
image2549,What does this image show?,opened aorta surrounded by enlarge nodes
image2549,What is present?,lymph node
image2549,What is present?,hodgkins disease
image2550,What does this image show?,enlarged periaortic nodes with homogeneous tan tumor primary malignant carcinoid in jejunum
image2550,How does this image show enlarged periaortic nodes?,with homogeneous tan tumor primary malignant carcinoid in jejunum 
image2550,What is present?,lymph node
image2550,What is present?,metastatic carcinoid
image2551,What does this image show?,matted and fused periaortic nodes with hemorrhagic necrosis good example
image2551,What is present?,malignant lymphoma
image2551,What is present?,lymph node
image2552,What is present?,hodgkins disease
